FROM,TO,28/12/16(23.15PM),12/28/2016(23.45PM),12/29/2016(00:00),12/30/2016(00:00),12/30/2016(21:00),1/1/2017(01:45)
INR,MOP,0.1171,0.1171,0.1171,0.1176,0.1175,0.1175
INR,IQD,17.3116,17.3116,17.3132,17.3812,17.382,17.382
INR,TOP,0.0337,0.0337,0.0337,0.0339,0.0339,0.0339
INR,QAR,0.0534,0.0534,0.0534,0.0536,0.0536,0.0536
INR,BHD,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
INR,FJD,0.0312,0.0312,0.0312,0.0314,0.0314,0.0314
INR,BBD,0.0293,0.0293,0.0293,0.0294,0.0294,0.0294
INR,VEF,0.1462,0.1462,0.1462,0.1468,0.1468,0.1468
INR,EUR,0.0141,0.0141,0.0141,0.014,0.014,0.014
INR,UYU,0.4142,0.4142,0.4143,0.4277,0.4309,0.4309
INR,XCD,0.0396,0.0396,0.0396,0.0397,0.0397,0.0397
INR,CDF,17.0038,17.0026,17.0053,17.0721,17.0582,17.0582
INR,RWF,11.8967,11.8958,11.8977,11.9478,11.9459,11.9459
INR,BYR,293.4623,293.4408,293.4882,294.6414,294.6544,294.6544
